"Place","Name","Club","Age","Distance","Gender","Year"
"17","William M Huibregtse","ISF","43","4950","Men","2009"
"18","William A Davis","NCMS","41","4875","Men","2009"
"18","Timothy P Bielek","NMMS","43","4875","Men","2009"
"20","Andy D Gramley","OREG","41","4860","Men","2009"
"21","Robert E Higley","OREG","43","4845","Men","2009"
"22","Kevin S Sherman","ISF","44","4825","Men","2009"
"22","Howard L Jacobs","SCA","42","4825","Men","2009"
"24","Todd J Walter","IAMA","41","4820","Men","2009"
"25","David W LeClair","GOLD","41","4790","Men","2009"
"26","Rick Stecher","SKY","43","4785","Men","2009"
"27","Dirk A Ten Grotenhuis","TOC","42","4780","Men","2009"
"28","Scott F Gundling","SWOM","44","4750","Men","2009"
"29","Thomas L Brown","DAM","41","4735","Men","2009"
"30","John N Nelson","FBMS","41","4725","Men","2009"
"31","Michael A Bell","MICH","40","4710","Men","2009"
"32","Michael E Landa","UCLA","42","4700","Men","2009"
"33","Bruce E Hopson","SLAM","42","4695","Men","2009"
"34","Doug Clark","BERK","40","4680","Men","2009"
"35","William S Rodon‐Hornof","IM","44","4675","Men","2009"
"36","Jon D Haveman","TAM","44","4660","Men","2009"
"37","Will C Neafsey","MICH","41","4640","Men","2009"
"38","Michael T Rossner","AGUA","44","4635","Men","2009"
"39","Mark J Schactman","MARY","42","4625","Men","2009"
"39","David Dammerman","ADMS","40","4625","Men","2009"
"41","Ed M Coates","TXLA","42","4600","Men","2009"
"41","Richard J Seibert","PNA","44","4600","Men","2009"
"43","James L Proffitt","OREG","43","4590","Men","2009"
"43","Timothy P Waud","OREG","41","4590","Men","2009"
"45","Robert M Tullman","SPM","44","4575","Men","2009"
"46","Daniel S Zimmerman","IM","41","4565","Men","2009"
"47","Adam G Engelskirchen","TAM","40","4545","Men","2009"
"48","Douglas Sayles","UNAT","41","4510","Men","2009"
"49","Stephen J Bosic","NEM","40","4500","Men","2009"
"49","Ted D Krovetz","DAM","42","4500","Men","2009"
"51","Jonathan D Weiss","1776","41","4495","Men","2009"
"52","Andrew J Kennedy","MICH","41","4475","Men","2009"
"53","Douglas A Kabel","OREG","43","4425","Men","2009"
"54","Michael Parry","CONN","44","4400","Men","2009"
"54","Michael J Hennessey","MOST","42","4400","Men","2009"
"56","Marc A Inderhees","NTEX","41","4375","Men","2009"
"56","Joshua C Smith","SPM","40","4375","Men","2009"
"58","Teck Choo","CMYM","41","4370","Men","2009"
"59","David A Williamson","1776","44","4360","Men","2009"
"60","Robert E Fernald","GBM","41","4355","Men","2009"
"61","Keith A Fritz","1776","41","4350","Men","2009"
"62","Greg Webb","ISF","43","4345","Men","2009"
"63","Mark A Gill","SKY","40","4325","Men","2009"
"64","Shane Hawes","ISF","43","4300","Men","2009"
"64","Matt M Kowta","DAM","42","4300","Men","2009"
"66","Daniel J Sperka","DAM","43","4275","Men","2009"
"67","Steve Lisle","ARKM","42","4270","Men","2009"
"68","Jonathan Ennis","TOC","42","4265","Men","2009"
"69","Jaime R Balboa","UCLA","40","4245","Men","2009"
"70","Chip G Beard","ARKM","40","4240","Men","2009"
"71","Douglas J Robinson","ISF","41","4215","Men","2009"
"72","Paul R Nichols","MESC","43","4210","Men","2009"
"73","Matt Le Jeune","ART","43","4200","Men","2009"
"74","Evan M Drutman","METR","44","4185","Men","2009"
"75","Steven Nettles","REDT","44","4180","Men","2009"
"76","Jim Waterman","NTEX","44","4175","Men","2009"
"77","Juan C Somoza","SPM","41","4140","Men","2009"
"78","Jonathan J Jensen","DAM","43","4125","Men","2009"
"78","Eric D Hawkins","ISF","44","4125","Men","2009"
"80","Michael Jacobson","CMYM","40","4110","Men","2009"
"81","Randall Carver","MOST","43","4090","Men","2009"
"82","Robert C Krall","SPM","44","4050","Men","2009"
"82","Todd D Nelson","PNA","42","4050","Men","2009"
"84","Kenneth A Barbee","1776","44","4045","Men","2009"
"85","Michael J Tomlin","ISF","40","4035","Men","2009"
"86","Mark A Savoldi","NCMS","42","4030","Men","2009"
"86","Douglas J Thompson","ADMS","42","4030","Men","2009"
"88","Miles Smith","SRM","44","4020","Men","2009"
"89","Stephen Gray","QTW","42","4015","Men","2009"
"90","Matt Millar","ISF","41","4000","Men","2009"
"90","Charles E Ogren","MELO","42","4000","Men","2009"
"90","Mike J Fairbairn","PALM","41","4000","Men","2009"
"93","Karl Schuler","FCST","42","3990","Men","2009"
"94","Paul D Allan","UNAT","42","3955","Men","2009"
"95","Alan C Burton","GSM","42","3950","Men","2009"
"95","Hal Sachs","CMYM","44","3950","Men","2009"
"95","Don Anderson","SSMS","44","3950","Men","2009"
"98","Patrick M Dodd","UCLA","44","3935","Men","2009"
"99","Peter Collins","PNA","43","3925","Men","2009"
"100","Carter M Evans","FCST","43","3920","Men","2009"
"101","Brent W Forrester","UCLA","41","3915","Men","2009"
"102","Edward A Hamilton","PNA","43","3900","Men","2009"
"102","Matthew S Mair","TNYA","42","3900","Men","2009"
"102","Daniel S Levin","UNAT","41","3900","Men","2009"
"105","David M Craig","ISF","43","3890","Men","2009"
"106","Andrew M Perry","GAJA","40","3875","Men","2009"
"106","Kelly Green","NCMS","43","3875","Men","2009"
"108","Rutger Engbersen","OREG","43","3865","Men","2009"
"109","Kristopher E Kordana","DAM","43","3825","Men","2009"
"110","Mark L Farman","SKY","44","3810","Men","2009"
"111","Daniel J Walther","BHCY","43","3800","Men","2009"
"112","Denis R Pelletier","NEM","44","3785","Men","2009"
"112","John W Rivett","TNYA","44","3785","Men","2009"
"114","Bill Donnelly","UNAT","41","3765","Men","2009"
"115","Mike Chen","SPM","44","3750","Men","2009"
"116","Joseph J Laukaitis","NEM","44","3725","Men","2009"
"116","Reisuke Konishi","SC","42","3725","Men","2009"
"118","Christian C Scheuring","DAM","44","3720","Men","2009"
"119","Kenneth M Fine","MELO","40","3700","Men","2009"
"119","Kevin J Mylod","ART","40","3700","Men","2009"
"121","David Holan","ART","40","3690","Men","2009"
"122","Michael F Garceau","PNA","42","3685","Men","2009"
"123","Thomas B Witmer","NIAG","42","3670","Men","2009"
"124","Richard A Keller","DAM","41","3650","Men","2009"
"124","David B Carmack","MESC","43","3650","Men","2009"
"124","Craig A Cooper","UCLA","42","3650","Men","2009"
"127","Franklin W Duck","ISF","42","3635","Men","2009"
"128","Shawn P Hughes","MOST","42","3600","Men","2009"
"128","Sinisa Novakovic","DAM","41","3600","Men","2009"
"128","Mike D Nims","UNAT","40","3600","Men","2009"
"131","Shawn Cardwell","SKY","42","3595","Men","2009"
"132","Eric K Engelhard","DAM","42","3575","Men","2009"
"132","John E Clough","DRM","42","3575","Men","2009"
"132","Steven F Pressman","UCLA","42","3575","Men","2009"
"135","Gerardo Herrera","SCA","41","3550","Men","2009"
"135","Andrew J Weber","CSAM","41","3550","Men","2009"
"137","Philippe Homassel","CMYM","42","3535","Men","2009"
"138","Jonathan Karron","ART","42","3525","Men","2009"
"139","Kevin M McIntyre","NEM","43","3520","Men","2009"
"139","Robert A Norris","MOST","42","3520","Men","2009"
"141","Cliff Miller","ART","42","3500","Men","2009"
"141","Kevin G Eichorn","MM","42","3500","Men","2009"
"143","Michael G Dirlam","LBG","41","3495","Men","2009"
"144","Chris M Soucie","NEM","42","3490","Men","2009"
"145","Erik Vink","DAM","44","3475","Men","2009"
"145","Greg J Collier","DAM","42","3475","Men","2009"
"147","George Triant","FLAQ","42","3450","Men","2009"
"148","David M Redfield","ARKM","41","3420","Men","2009"
"149","John H Mayo","OREG","40","3400","Men","2009"
"150","Curt Lawson","IVY","42","3350","Men","2009"
"151","Nick Gardner","UCLA","43","3340","Men","2009"
"152","Michael A Ansel","1776","43","3330","Men","2009"
"153","Gary Hartmann","CMYM","43","3325","Men","2009"
"154","Glenn M Garcia","MOST","43","3320","Men","2009"
"155","Robbie Wright","CSAM","42","3290","Men","2009"
"156","William H Finch","CSI","43","3285","Men","2009"
"157","Chris Gaarder","OREG","44","3280","Men","2009"
"158","Ronald E Lee","DAM","41","3235","Men","2009"
"158","James P Hull","NEM","40","3235","Men","2009"
"160","Barry Paul","OREG","43","3225","Men","2009"
"161","Eric Peterson","OREG","43","3185","Men","2009"
"162","Raymond Toy","CMYM","41","3170","Men","2009"
"163","Bob R Cochrane","ISF","44","3125","Men","2009"
"163","Keith W Nelson","SPM","44","3125","Men","2009"
"163","Erik O Nielson","LBG","41","3125","Men","2009"
"166","Herman Arrivillaga","ISF","43","3060","Men","2009"
"167","Derek R Fromson","UCLA","44","3040","Men","2009"
"167","Daniel Davila","MOST","41","3040","Men","2009"
"169","Pat M Powers","CRUZ","43","2965","Men","2009"
"170","John D Haefner","ARKM","44","2950","Men","2009"
"171","Jack Defandorf","NEM","44","2910","Men","2009"
"172","Thomas T Tucker","DAM","41","2840","Men","2009"
"173","Seth Irwin","ARKM","42","2825","Men","2009"
"173","Brad A Hinrichs","MELO","44","2825","Men","2009"
"175","Robert J Neis","ART","44","2800","Men","2009"
"176","David C Stark","TVM","40","2725","Men","2009"
"177","Rafael J Grossmann","UNAT","43","2650","Men","2009"
"178","Kyle D Kersey","OREG","44","2490","Men","2009"
"179","Arnold B Starnes","FINS","44","2410","Men","2009"
"180","Szilard V Gyalay","CSAM","41","2400","Men","2009"
"181","Ian H Burt","ART","43","2350","Men","2009"
"182","Vinay K Chaudhri","MELO","43","2305","Men","2009"
"183","Paul M Henry","ARKM","43","2000","Men","2009"
"1","Robert C Placak","TOC","49","5510","Men","2009"
"2","Anders M Rasmussen","TXLA","45","5385","Men","2009"
"3","Frank C Wuest","NEM","48","5215","Men","2009"
"4","James B Biles","WMAC","47","5125","Men","2009"
"5","Robert C Holmes","SKY","46","5100","Men","2009"
"6","Michael R Stokes","UCLA","46","5050","Men","2009"
"7","Douglas M Bosley","NEM","46","5035","Men","2009"
"8","Mike Keck","TOC","49","5015","Men","2009"
"9","Chris J Tainty","CRUZ","48","5010","Men","2009"
"10","Michael Degroat","1776","49","4925","Men","2009"
"11","Chris A French","NEM","46","4910","Men","2009"
"11","Michael Johmann","SKY","47","4910","Men","2009"
"13","Brent Bunnell","RIDG","45","4870","Men","2009"
"14","Chris Osburn","RIDG","45","4860","Men","2009"
"14","Ron L Collins","SPM","46","4860","Men","2009"
"16","Scott J Richards","WMAC","48","4850","Men","2009"
"16","Daniel J Newhaller","SPM","49","4850","Men","2009"
"18","Bryan E Boggs","ISF","47","4835","Men","2009"
"19","Lance E Halsted","DAM","49","4815","Men","2009"
"20","Joe Delaney","TAM","47","4805","Men","2009"
"21","Greg R Doyas","SPAS","46","4790","Men","2009"
"21","Rob Long","NCMS","48","4790","Men","2009"
